time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-06-25 00:00:00+00:00,,,58,14
2024-06-26 00:00:00+00:00,17.0,1.0,51,8
2024-06-27 00:00:00+00:00,21.0,2.0,27,10
2024-06-28 00:00:00+00:00,,,30,13
2024-06-29 00:00:00+00:00,1.0,1.0,38,12
2024-06-30 00:00:00+00:00,1.0,1.0,5,3
2024-07-01 00:00:00+00:00,2.0,2.0,24,6
2024-07-02 00:00:00+00:00,,,23,10
2024-07-03 00:00:00+00:00,,,13,6
2024-07-04 00:00:00+00:00,,,36,4
2024-07-05 00:00:00+00:00,,,14,9
2024-07-06 00:00:00+00:00,,,13,7
2024-07-07 00:00:00+00:00,,,39,6
2024-07-08 00:00:00+00:00,,,95,5
