time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-29 00:00:00+00:00,1,1,14,7
2025-06-30 00:00:00+00:00,13,7,84,13
2025-07-01 00:00:00+00:00,6,4,123,16
2025-07-02 00:00:00+00:00,14,8,64,12
2025-07-03 00:00:00+00:00,44,15,93,11
2025-07-04 00:00:00+00:00,49,12,104,18
2025-07-05 00:00:00+00:00,34,8,23,6
2025-07-06 00:00:00+00:00,3,2,11,5
2025-07-07 00:00:00+00:00,45,13,75,19
2025-07-08 00:00:00+00:00,64,10,106,24
2025-07-09 00:00:00+00:00,71,15,52,7
2025-07-10 00:00:00+00:00,7,3,40,12
2025-07-11 00:00:00+00:00,55,14,126,13
2025-07-12 00:00:00+00:00,5,3,15,4
