url_path,views_total,views_unique
/SwissTPH/openmalaria/wiki,60,42
/SwissTPH/openmalaria,57,34
/SwissTPH/openmalaria/tree/main/model,23,6
/SwissTPH/openmalaria/wiki/MonitoringOptions,18,10
/SwissTPH/openmalaria/blob/145ce33ff55c2ca83093852a694a4a437a3bd1b9/schema/scenario_45.xsd,14,1
/SwissTPH/openmalaria/wiki/UserGuide,11,6
/SwissTPH/openmalaria/tree/main/model/interventions,10,4
/SwissTPH/openmalaria/blob/main/model/Parameters.h,9,3
/SwissTPH/openmalaria/tree/main/model/Transmission,9,3
/SwissTPH/openmalaria/wiki/References,9,3
