time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-01 00:00:00+00:00,,,9,5
2023-12-02 00:00:00+00:00,5.0,4.0,18,7
2023-12-03 00:00:00+00:00,1.0,1.0,16,4
2023-12-04 00:00:00+00:00,1.0,1.0,28,8
2023-12-05 00:00:00+00:00,1.0,1.0,32,11
2023-12-06 00:00:00+00:00,2.0,2.0,54,7
2023-12-07 00:00:00+00:00,,,7,6
2023-12-08 00:00:00+00:00,1.0,1.0,4,4
2023-12-09 00:00:00+00:00,2.0,2.0,1,1
2023-12-10 00:00:00+00:00,,,2,2
2023-12-11 00:00:00+00:00,1.0,1.0,9,7
2023-12-12 00:00:00+00:00,2.0,2.0,45,6
2023-12-13 00:00:00+00:00,1.0,1.0,32,9
2023-12-14 00:00:00+00:00,19.0,5.0,29,8
