time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-09 00:00:00+00:00,2.0,2.0,1,1
2023-12-10 00:00:00+00:00,,,2,2
2023-12-11 00:00:00+00:00,1.0,1.0,9,7
2023-12-12 00:00:00+00:00,2.0,2.0,45,6
2023-12-13 00:00:00+00:00,1.0,1.0,32,9
2023-12-14 00:00:00+00:00,19.0,5.0,29,8
2023-12-15 00:00:00+00:00,1.0,1.0,24,9
2023-12-16 00:00:00+00:00,12.0,1.0,1,1
2023-12-17 00:00:00+00:00,13.0,2.0,71,1
2023-12-18 00:00:00+00:00,8.0,3.0,40,8
2023-12-19 00:00:00+00:00,2.0,2.0,13,9
2023-12-20 00:00:00+00:00,4.0,4.0,6,4
2023-12-21 00:00:00+00:00,,,4,4
2023-12-22 00:00:00+00:00,3.0,2.0,6,5
