time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-17 00:00:00+00:00,1,1,105,12
2025-12-18 00:00:00+00:00,0,0,85,12
2025-12-19 00:00:00+00:00,1,1,11,5
2025-12-20 00:00:00+00:00,1,1,11,4
2025-12-21 00:00:00+00:00,0,0,9,4
2025-12-22 00:00:00+00:00,1,1,22,9
2025-12-23 00:00:00+00:00,1,1,24,5
2025-12-24 00:00:00+00:00,3,1,7,5
2025-12-25 00:00:00+00:00,1,1,7,4
2025-12-26 00:00:00+00:00,0,0,10,4
2025-12-27 00:00:00+00:00,0,0,10,3
2025-12-28 00:00:00+00:00,2,2,22,4
2025-12-29 00:00:00+00:00,0,0,12,4
2025-12-30 00:00:00+00:00,3,2,9,4
