time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-09-06 00:00:00+00:00,,,64,12
2024-09-07 00:00:00+00:00,,,11,5
2024-09-08 00:00:00+00:00,,,22,8
2024-09-09 00:00:00+00:00,,,9,4
2024-09-10 00:00:00+00:00,,,84,16
2024-09-11 00:00:00+00:00,,,72,10
2024-09-12 00:00:00+00:00,,,33,7
2024-09-13 00:00:00+00:00,,,36,7
2024-09-14 00:00:00+00:00,,,24,5
2024-09-15 00:00:00+00:00,,,10,3
2024-09-16 00:00:00+00:00,,,56,14
2024-09-17 00:00:00+00:00,6.0,1.0,29,7
2024-09-18 00:00:00+00:00,,,119,12
2024-09-19 00:00:00+00:00,,,42,9
