time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-04-02 00:00:00+00:00,7.0,5.0,93,21
2025-04-03 00:00:00+00:00,2.0,2.0,65,18
2025-04-04 00:00:00+00:00,5.0,5.0,41,14
2025-04-05 00:00:00+00:00,2.0,2.0,11,6
2025-04-06 00:00:00+00:00,2.0,2.0,30,8
2025-04-07 00:00:00+00:00,1.0,1.0,52,18
2025-04-08 00:00:00+00:00,29.0,7.0,113,16
2025-04-09 00:00:00+00:00,6.0,5.0,117,18
2025-04-10 00:00:00+00:00,7.0,5.0,73,10
2025-04-11 00:00:00+00:00,3.0,3.0,17,8
2025-04-12 00:00:00+00:00,5.0,4.0,34,5
2025-04-13 00:00:00+00:00,5.0,4.0,17,7
2025-04-14 00:00:00+00:00,2.0,2.0,57,16
2025-04-15 00:00:00+00:00,,,73,12
