url_path,views_total,views_unique
/OpenMalaria-Org/openmalaria,225,59
/OpenMalaria-Org/openmalaria/wiki,80,37
/OpenMalaria-Org/openmalaria/wiki/ModelInterventions,33,10
/OpenMalaria-Org/openmalaria/wiki/ScenarioTransmission,19,5
/OpenMalaria-Org/openmalaria/wiki/UserGuide,16,9
/OpenMalaria-Org/openmalaria/wiki/Monitoring,16,8
/OpenMalaria-Org/openmalaria/wiki/MonitoringOptions,15,8
/OpenMalaria-Org/openmalaria/wiki/XmlEntoVector,14,6
/OpenMalaria-Org/openmalaria/pull/370,13,2
/OpenMalaria-Org/openmalaria/wiki/ModelMosqPopDynamics,13,2
