time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-02-20 00:00:00+00:00,1.0,1.0,44,10
2024-02-21 00:00:00+00:00,2.0,2.0,17,6
2024-02-22 00:00:00+00:00,1.0,1.0,34,13
2024-02-23 00:00:00+00:00,1.0,1.0,7,3
2024-02-24 00:00:00+00:00,1.0,1.0,24,2
2024-02-25 00:00:00+00:00,1.0,1.0,3,1
2024-02-26 00:00:00+00:00,1.0,1.0,88,6
2024-02-27 00:00:00+00:00,5.0,5.0,41,10
2024-02-28 00:00:00+00:00,,,19,9
2024-02-29 00:00:00+00:00,,,34,11
2024-03-01 00:00:00+00:00,1.0,1.0,19,13
2024-03-02 00:00:00+00:00,,,4,2
2024-03-03 00:00:00+00:00,1.0,1.0,9,6
2024-03-04 00:00:00+00:00,3.0,3.0,39,14
