url_path,views_total,views_unique
/OpenMalaria-Org/openmalaria,119,33
/OpenMalaria-Org/openmalaria/wiki,41,28
/OpenMalaria-Org/openmalaria/wiki/UserGuide,11,5
/OpenMalaria-Org/openmalaria/wiki/ScenarioTransmission,9,3
/OpenMalaria-Org/openmalaria/wiki/ScenarioDesign,8,4
/OpenMalaria-Org/openmalaria/wiki/MonitoringOptions,7,6
/OpenMalaria-Org/openmalaria/wiki/DrugResistanceGenotypes,6,2
/OpenMalaria-Org/openmalaria/blob/cdd684d7381f1185b252dcba6d8d00431457dad4/model/Transmission/TransmissionModel.h,5,2
/OpenMalaria-org/openmalaria/blob/schema-48.0/util/example/example_scenario.xml,5,2
/OpenMalaria-Org/openmalaria/tree/main/model,4,4
