time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-02-16 00:00:00+00:00,2.0,2.0,13,8
2024-02-17 00:00:00+00:00,2.0,2.0,4,1
2024-02-18 00:00:00+00:00,,,3,3
2024-02-19 00:00:00+00:00,6.0,5.0,19,9
2024-02-20 00:00:00+00:00,1.0,1.0,44,10
2024-02-21 00:00:00+00:00,2.0,2.0,17,6
2024-02-22 00:00:00+00:00,1.0,1.0,34,13
2024-02-23 00:00:00+00:00,1.0,1.0,7,3
2024-02-24 00:00:00+00:00,1.0,1.0,24,2
2024-02-25 00:00:00+00:00,1.0,1.0,3,1
2024-02-26 00:00:00+00:00,1.0,1.0,88,6
2024-02-27 00:00:00+00:00,5.0,5.0,41,10
2024-02-28 00:00:00+00:00,,,19,9
2024-02-29 00:00:00+00:00,,,33,10
