url_path,views_total,views_unique
/SwissTPH/openmalaria/wiki,69,39
/SwissTPH/openmalaria,42,26
/SwissTPH/openmalaria/blob/main/model/Parameters.h,18,2
/SwissTPH/openmalaria/wiki/ScenarioTransmission,14,6
/SwissTPH/openmalaria/blob/145ce33ff55c2ca83093852a694a4a437a3bd1b9/schema/scenario_45.xsd,14,1
/SwissTPH/openmalaria/wiki/ModelInterventions,13,8
/SwissTPH/openmalaria/wiki/UserGuide,13,8
/SwissTPH/openmalaria/wiki/MonitoringOptions,10,8
/SwissTPH/openmalaria/releases/tag/schema-46.0,8,8
/SwissTPH/openmalaria/wiki/References,7,4
