time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-01 00:00:00+00:00,3,2,14,5
2026-03-02 00:00:00+00:00,15,4,17,11
2026-03-03 00:00:00+00:00,11,7,60,19
2026-03-04 00:00:00+00:00,21,9,72,8
2026-03-05 00:00:00+00:00,34,11,114,15
2026-03-06 00:00:00+00:00,15,4,100,14
2026-03-07 00:00:00+00:00,0,0,38,11
2026-03-08 00:00:00+00:00,3,3,10,6
2026-03-09 00:00:00+00:00,13,7,51,11
2026-03-10 00:00:00+00:00,3,2,71,16
2026-03-11 00:00:00+00:00,4,3,43,10
2026-03-12 00:00:00+00:00,10,8,48,17
2026-03-13 00:00:00+00:00,1,1,58,19
2026-03-14 00:00:00+00:00,0,0,5,3
