url_path,views_total,views_unique
/OpenMalaria-Org/openmalaria,105,58
/OpenMalaria-Org/openmalaria/wiki,100,53
/OpenMalaria-Org/openmalaria/pulls,41,5
/OpenMalaria-Org/openmalaria/pull/465,26,4
/OpenMalaria-Org/openmalaria/pull/458,22,1
/OpenMalaria-Org/openmalaria/wiki/UserGuide,20,11
/OpenMalaria-Org/openmalaria/wiki/MonitoringOptions,19,8
/OpenMalaria-Org/openmalaria/pull/466,17,2
/OpenMalaria-Org/openmalaria/wiki/ModelInterventions,14,7
/OpenMalaria-Org/openmalaria/wiki/MonitoringOutput,14,7
